Generator type,Fuel,Year,Country,value
Other generators,Coal,2014,Nothern Ireland,39.4335
Other generators,Oil,2014,Nothern Ireland,39.1959
Other generators,Gas,2014,Nothern Ireland,101.1457
Other generators,Hydro natural flow,2014,Nothern Ireland,27.1848
Other generators,Wind,2014,Nothern Ireland,798.7427
Other generators,Solar,2014,Nothern Ireland,45.6959
Other generators,Shoreline wave and tidal,2014,Nothern Ireland,0.0155
Other generators,Bioenergy,2014,Nothern Ireland,168.1692
Other generators,Other fuels,2014,Nothern Ireland,0
Other generators,Total other generators,2014,Nothern Ireland,1219.5832
All generating companies,Fossil fuels,2014,Nothern Ireland,6180.7354
All generating companies,Coal,2014,Nothern Ireland,2199.3671
All generating companies,Oil,2014,Nothern Ireland,63.2648
All generating companies,Gas,2014,Nothern Ireland,3918.1036
All generating companies,Nuclear,2014,Nothern Ireland,0
All generating companies,Renewables,2014,Nothern Ireland,1699.4813
All generating companies,Hydro natural flow,2014,Nothern Ireland,27.1848
All generating companies,Wind,2014,Nothern Ireland,1458.4159
All generating companies,Solar,2014,Nothern Ireland,45.6959
All generating companies,Shoreline wave and tidal,2014,Nothern Ireland,0.0155
All generating companies,Bioenergy,2014,Nothern Ireland,168.1692
All generating companies,Other fuels,2014,Nothern Ireland,0
All generating companies,Pumped storage,2014,Nothern Ireland,0
All generating companies,Total all generating companies,2014,Nothern Ireland,7880.2167
Major power producers,Coal,2014,England,80481.7109
Major power producers,Oil,2014,England,165.826
Major power producers,Gas,2014,England,65660.9316
Major power producers,Nuclear,2014,England,45161.6107
Major power producers,Hydro natural flow,2014,England,27.879
Major power producers,Wind,2014,England,14631.6859
Major power producers,Solar,2014,England,NA
Major power producers,Bioenergy,2014,England,12052.6942
Major power producers,Other fuels,2014,England,528.0421
Major power producers,Hydro pumped storage,2014,England,0
Major power producers,Total major power producers,2014,England,218710.3804
Other generators,Coal,2014,England,32.7465
Other generators,Oil,2014,England,668.3836
Other generators,Gas,2014,England,9223.9363
Other generators,Hydro natural flow,2014,England,71.6429
Other generators,Wind,2014,England,1878.3442
Other generators,Solar,2014,England,3630.3506
Other generators,Shoreline wave and tidal,2014,England,0.0383
Other generators,Bioenergy,2014,England,8105.4126
Other generators,Other fuels,2014,England,2584.2335
Other generators,Total other generators,2014,England,26195.0885
All generating companies,Fossil fuels,2014,England,156233.5348
All generating companies,Coal,2014,England,80514.4574
All generating companies,Oil,2014,England,834.2096
All generating companies,Gas,2014,England,74884.8679
All generating companies,Nuclear,2014,England,45161.6107
All generating companies,Renewables,2014,England,40398.0478
All generating companies,Hydro natural flow,2014,England,99.5219
All generating companies,Wind,2014,England,16510.0302
All generating companies,Solar,2014,England,3630.3506
All generating companies,Shoreline wave and tidal,2014,England,0.0383
All generating companies,Bioenergy,2014,England,20158.1068
All generating companies,Other fuels,2014,England,3112.2756
All generating companies,Pumped storage,2014,England,0
All generating companies,Total all generating companies,2014,England,244905.4689
Major power producers,Coal,2015,UK,75811.86
Major power producers,Oil,2015,UK,683.1445
Major power producers,Gas,2015,UK,88460.77
Major power producers,Nuclear,2015,UK,70344.902
Major power producers,Hydro natural flow,2015,UK,4906.587
Major power producers,Wind,2015,UK,33257.1393
Major power producers,Solar,2015,UK,1404.5492
Major power producers,Bioenergy,2015,UK,17693.5465
Major power producers,Other fuels,2015,UK,688.7654
Major power producers,Hydro pumped storage,2015,UK,2739.42
Major power producers,Total major power producers,2015,UK,295990.6839
Other generators,Coal,2015,UK,66.37
Other generators,Oil,2015,UK,1353.96
Other generators,Gas,2015,UK,11414.65
Other generators,Hydro natural flow,2015,UK,1390.6816
Other generators,Wind,2015,UK,7017.5804
Other generators,Solar,2015,UK,6128.3149
Other generators,Shoreline wave and tidal,2015,UK,1.9986
Other generators,Bioenergy,2015,UK,11563.4313
Other generators,Other fuels,2015,UK,3947.66
